"","prs","acts"
"1",2.24595427513123,2.315
"2",2.29853534698486,2.228
"3",2.16638708114624,2.14
"4",2.06358623504639,2.065
"5",2.10974907875061,2.048
"6",2.05010366439819,2.076
"7",2.09306240081787,2.172
"8",2.23034238815308,2.134
"9",2.144615650177,2.109
"10",2.09204864501953,2.093
