"","as.vector.t1.","c.as.vector.t2...1."
"1",0.0319887286978041,0.0384011045258763
"2",0.0551560089110429,0.0216409356684112
"3",0.0173371312077685,0.0164729655099687
"4",0.0444100955536267,0.0296447165849968
"5",0.0446395232565865,0.0118695755553838
"6",0.0327200961011934,0.0380719479494078
"7",0.0048849530252969,0
"8",0.0308203888750689,0.02497292093138
"9",0.00318246456918658,0.0155731734629699
"10",0.0194961666505029,0.0256075011185194
"11",0.024533595424975,0.00107642636873828
"12",0.00401237686025491,0.0218384178171673
"13",0.0149281209160054,0.0100609797564077
"14",0.00936979284534278,0.0381147675595724
"15",0.0364230614510844,0.00255820042303845
"16",0.0167187505429218,0.0253571153878445
"17",0.0232885293194907,0.0201171421595994
"18",0.00691814122115175,0.0153890009636535
"19",0.00858754704977338,0.0386521544342792
"20",0.0279999555189313,0.0135908588281181
"21",0.00458421566108413,0.0329291568067748
"22",0.0109875180086743,0.0514239023678839
"23",0.0216059394846739,0.00643089033029043
"24",0.0251914864552453,0.0179109265665303
"25",0.0262671979452765,0.040339950644929
"26",0.0453325005744599,0.0160392259796278
"27",0.0135876561651518,0.0492067134324047
"28",0.0120358648352874,0.0408425810299161
"29",0.0706876470336507,0.00983292091623889
"30",0.034506927371285,1
